,Partido,1,2
121,Emil Ruusuvuori - Kopriva,1.14,4.75
122,Zapata Miralles - Vesely,2.6,1.42
123,Erlich/Roger-Vasselin - Martin/Tsonga,2.0,1.7
124,Dzumhur - Basilashvili,2.3,1.55
125,Monfils - M Ymer,1.2,4.0
126,Gaio/Musetti - Doumbia/Reboul,2.25,1.58
127,Karatsev - E Ymer,1.3,3.2
128,G Carbonaro / G Ceschi - D Turkmen / M A Uyar,4.0,1.17
129,Bhambri - Travaglia,2.4,1.5
130,N Sato / A Vangelova - E Alvisi / A Serafini,1.17,4.0
131,S D Agostino / P Pampanin - U Akkoyun / T Altuna,3.05,1.29
132,M Houkes / R Stuurman - Z Tkemaladze / T Yamanaka,1.54,2.2
133,Carballes Baena - Sonego,2.5,1.45
134,Ramos-Vinolas - Jua Varillas,1.65,2.1
135,Tabilo - Taberner,1.65,2.1
136,Garin - Se Baez,1.75,1.95
137,G Bestetti / B Dessolis - A Koevermans / S J Vissc,8.0,1.02
138,C Girelli / M Toma - S Keles / I Kurt,1.07,5.75
